,Killer,Num,Perc
0,BiGgweeb,957.0,1.723982634072526
1,STRAZO,741.0,1.3348705661940876
2,Krashgamer,488.0,0.8791050422438795
3,Neroga,479.0,0.8628920394156114
4,Miggers,455.0,0.819657365206896
5,BentsiW,341.0,0.6142926627154978
6,Reckinq_touchpad,305.0,0.5494406514024247
7,Conjo_,269.0,0.4845886400893517
8,0xify,262.0,0.4719785267784764
9,GodOf4b4t,259.0,0.4665741925023869
10,SankuGG,224.0,0.40352362594801033
11,omegasbeve,203.0,0.36569328601538437
12,SaIC1,178.0,0.3206571670479725
13,SamTheEgrill,174.0,0.31345138801318656
14,BrutalTorture,167.0,0.30084127470231126
15,Flashylol,163.0,0.2936354956675254
16,ScoobyDooPimp,154.0,0.2774224928392571
17,HyperReaper123,146.0,0.2630109347696853
18,PoolCoder,141.0,0.2540037109762029
19,KP0C,109.0,0.19635747869791573
20,TankTunder,107.0,0.1927545891805228
21,nikolas4603,106.0,0.1909531444218263
22,shumin11,105.0,0.18915169966312984
23,Shrando,103.0,0.18554881014573688
24,Raisin_Dan,98.0,0.1765415863522545
25,Actness,92.0,0.16573291780007565
26,Max_Powers_Full,90.0,0.1621300282826827
27,Cuby96,87.0,0.15672569400659328
28,CROHectany,83.0,0.1495199149718074
29,xXfrozen_milkXx,82.0,0.1477184702131109
30,DawsonBeard,80.0,0.14411558069571798
31,Relbu,80.0,0.14411558069571798
32,pr0lapse,77.0,0.13871124641962854
33,Therhskel,77.0,0.13871124641962854
34,Sparkey096,77.0,0.13871124641962854
35,MrLeevee,74.0,0.13330691214353912
36,ExtraIcy,71.0,0.12790257786744968
37,13oclock,70.0,0.12610113310875323
38,FeSis,69.0,0.12429968835005675
39,ShatteredHej,69.0,0.12429968835005675
40,J33n,68.0,0.12249824359136026
41,iEmirYILDIRIM,67.0,0.12069679883266379
42,lightDreaming,66.0,0.11889535407396733
43,enox101,62.0,0.11168957503918141
44,Bl0ngus,62.0,0.11168957503918141
45,ELIGAVARGEN,61.0,0.10988813028048494
46,imabum,61.0,0.10988813028048494
47,Alaskatim,58.0,0.10448379600439552
48,h1a,57.0,0.10268235124569905
49,ido_v,56.0,0.10088090648700258
50,BigWillyBilly666,56.0,0.10088090648700258
51,stilwall,56.0,0.10088090648700258
52,DorSchnetzler,55.0,0.09907946172830609
53,HP0C,55.0,0.09907946172830609
54,laundmo,53.0,0.09547657221091314
55,julien78790,52.0,0.09367512745221668
56,Killet,52.0,0.09367512745221668
57,unkelcheez,51.0,0.0918736826935202
58,YoKdsGetOfMaLwn,51.0,0.0918736826935202
59,DarkSoulSK,51.0,0.0918736826935202
60,Crazy_Ninja_Kid,49.0,0.08827079317612725
61,DragonFlames10,49.0,0.08827079317612725
62,Pluthorium,49.0,0.08827079317612725
63,AwesomeJosh2695,49.0,0.08827079317612725
64,He4rtle55,48.0,0.08646934841743077
65,Ordinary_Avocado,47.0,0.0846679036587343
66,Pugyovv,46.0,0.08286645890003783
67,ZeProf2Minato,46.0,0.08286645890003783
68,iMG00D,43.0,0.0774621246239484
69,MintTM,43.0,0.0774621246239484
70,39Y,42.0,0.07566067986525193
71,om211,42.0,0.07566067986525193
72,PussyDestroyer,40.0,0.07205779034785899
73,ScarletSinon,39.0,0.07025634558916251
74,jimmyjohns451,38.0,0.06845490083046604
75,m3thh,38.0,0.06845490083046604
76,Oszku,37.0,0.06665345607176956
77,Smolegit,36.0,0.06485201131307308
78,Fluffydog51,36.0,0.06485201131307308
79,KingCarnelian,35.0,0.06305056655437662
80,Tomad,34.0,0.06124912179568013
81,AwkwardPotLag,34.0,0.06124912179568013
82,JotaroIsMyDaddy,34.0,0.06124912179568013
83,OJcoolaid,34.0,0.06124912179568013
84,SovietUni0n,33.0,0.059447677036983664
85,OneSadRatard,32.0,0.057646232278287184
86,FacelessManRuin,32.0,0.057646232278287184
87,CastleCrafterLP,32.0,0.057646232278287184
88,aGermanBoi,32.0,0.057646232278287184
89,Gopro336,32.0,0.057646232278287184
90,Drop_JPG,31.0,0.055844787519590704
91,n1ggerlover,31.0,0.055844787519590704
